Date,Price,Open,High,Low,Vol.,Change %
6-Jun-19,"1,337.65","1,335.25","1,344.15","1,331.35",-,0.70%
5-Jun-19,"1,328.30","1,328.90","1,343.30","1,326.30",0.62K,0.37%
4-Jun-19,"1,323.40","1,324.30","1,328.60","1,320.80",0.30K,0.05%
3-Jun-19,"1,322.70","1,307.00","1,327.80","1,307.00",0.81K,1.29%
31-May-19,"1,305.80","1,287.70","1,306.40","1,287.50",2.81K,1.45%
30-May-19,"1,287.10","1,279.40","1,288.30","1,273.90",55.57K,0.48%
29-May-19,"1,281.00","1,278.90","1,285.20","1,278.40",189.69K,0.31%
28-May-19,"1,277.10","1,283.50","1,286.90","1,275.10",362.16K,-0.61%
27-May-19,"1,284.95","1,284.25","1,286.85","1,283.25",-,0.06%
26-May-19,"1,284.15","1,284.20","1,285.15","1,283.65",-,0.04%
24-May-19,"1,283.60","1,283.20","1,284.70","1,280.10",218.71K,-0.14%
23-May-19,"1,285.40","1,273.30","1,287.10","1,272.10",330.16K,0.88%
22-May-19,"1,274.20","1,274.40","1,277.10","1,272.00",191.37K,0.08%
21-May-19,"1,273.20","1,277.70","1,277.70","1,269.00",213.17K,-0.32%
20-May-19,"1,277.30","1,277.60","1,278.80","1,273.30",212.18K,0.13%
17-May-19,"1,275.70","1,287.20","1,289.00","1,274.60",264.57K,-0.82%
16-May-19,"1,286.20","1,297.70","1,299.30","1,284.20",282.07K,-0.89%
15-May-19,"1,297.80","1,298.00","1,301.70","1,293.60",247.52K,0.12%
14-May-19,"1,296.30","1,300.80","1,304.20","1,294.30",222.05K,-0.42%
13-May-19,"1,301.80","1,288.30","1,302.20","1,282.40",379.44K,1.12%
10-May-19,"1,287.40","1,285.00","1,290.30","1,283.90",238.64K,0.17%
9-May-19,"1,285.20","1,281.90","1,289.20","1,280.40",306.55K,0.30%
8-May-19,"1,281.40","1,285.60","1,292.80","1,280.20",302.69K,-0.33%
7-May-19,"1,285.60","1,282.40","1,287.30","1,279.10",251.09K,0.14%
