"Date","Price","Open","High","Low","Vol.","Change %"
"May 01, 2019","14.645","14.885","14.890","14.570","0.57K","-1.71%"
"Apr 30, 2019","14.900","14.870","14.960","14.770","0.69K","0.38%"
"Apr 29, 2019","14.844","15.030","15.035","14.820","18.27K","-1.12%"
"Apr 28, 2019","15.012","15.035","15.035","15.012","-","0.05%"
"Apr 26, 2019","15.005","14.890","15.040","14.845","78.21K","0.85%"
"Apr 25, 2019","14.879","14.910","14.975","14.815","68.61K","-0.25%"
"Apr 24, 2019","14.916","14.790","14.960","14.740","84.04K","0.85%"
"Apr 23, 2019","14.791","14.970","14.995","14.700","86.03K","-1.23%"
"Apr 22, 2019","14.975","14.970","15.040","14.945","46.63K","-0.05%"
"Apr 21, 2019","14.982","14.955","14.988","14.955","-","0.11%"
"Apr 19, 2019","14.965","14.965","14.965","14.965","-","0.07%"
"Apr 18, 2019","14.955","14.940","14.990","14.895","59.16K","0.11%"
"Apr 17, 2019","14.939","14.955","15.055","14.880","78.51K","0.16%"
"Apr 16, 2019","14.915","14.935","14.975","14.830","71.05K","-0.40%"
"Apr 15, 2019","14.975","14.930","14.990","14.795","76.16K","0.38%"
"Apr 14, 2019","14.918","14.928","14.950","14.912","-","-0.30%"
"Apr 12, 2019","14.963","14.920","15.065","14.900","70.74K","0.65%"
"Apr 11, 2019","14.867","15.190","15.215","14.845","106.24K","-2.47%"
"Apr 10, 2019","15.244","15.185","15.265","15.115","63.27K","0.22%"
"Apr 09, 2019","15.211","15.220","15.310","15.180","61.10K","-0.03%"
"Apr 08, 2019","15.216","15.075","15.275","15.075","55.23K","0.85%"
"Apr 07, 2019","15.088","15.078","15.107","15.078","-","0.01%"
"Apr 05, 2019","15.086","15.115","15.180","15.040","66.86K","0.01%"
"Apr 04, 2019","15.084","15.090","15.150","14.860","74.19K","-0.12%"
"Apr 03, 2019","15.102","15.090","15.160","15.000","59.92K","0.27%"
"Apr 02, 2019","15.061","15.085","15.090","14.905","69.93K","-0.25%"
"Apr 01, 2019","15.099","15.095","15.190","15.030","66.02K","-0.09%"
"Mar 31, 2019","15.113","15.102","15.133","15.098","-","0.02%"
"Mar 29, 2019","15.110","14.990","15.180","14.950","72.20K","0.91%"
"Mar 28, 2019","14.973","15.285","15.315","14.955","86.59K","-2.12%"
"Mar 27, 2019","15.298","15.425","15.475","15.255","58.95K","-0.85%"
"Mar 26, 2019","15.429","15.545","15.560","15.390","53.10K","-0.89%"
"Mar 25, 2019","15.567","15.405","15.590","15.385","50.18K","1.03%"
"Mar 24, 2019","15.408","15.438","15.447","15.408","-","0.01%"
"Mar 22, 2019","15.407","15.475","15.550","15.365","53.66K","-0.19%"
"Mar 21, 2019","15.437","15.485","15.650","15.380","72.41K","0.78%"
"Mar 20, 2019","15.318","15.360","15.565","15.265","65.90K","-0.35%"
"Mar 19, 2019","15.372","15.345","15.450","15.320","39.61K","0.33%"
"Mar 18, 2019","15.322","15.315","15.425","15.220","44.45K","0.35%"
"Mar 17, 2019","15.268","15.287","15.310","15.268","-","-0.37%"
"Mar 15, 2019","15.324","15.185","15.390","15.165","58.86K","1.01%"
"Mar 14, 2019","15.171","15.455","15.470","15.135","69.84K","-1.84%"
"Mar 13, 2019","15.456","15.440","15.550","15.435","46.36K","0.28%"
"Mar 12, 2019","15.413","15.330","15.490","15.310","53.98K","0.91%"
"Mar 11, 2019","15.274","15.320","15.365","15.225","47.79K","-0.42%"
"Mar 10, 2019","15.338","15.352","15.352","15.322","-","-0.07%"
"Mar 08, 2019","15.349","15.055","15.385","15.015","73.17K","2.05%"
"Mar 07, 2019","15.040","15.100","15.130","14.985","61.27K","-0.30%"
"Mar 06, 2019","15.085","15.150","15.175","15.055","56.77K","-0.13%"
"Mar 05, 2019","15.105","15.115","15.175","15.060","67.84K","0.00%"
"Mar 04, 2019","15.105","15.225","15.295","15.075","90.70K","-0.36%"
"Mar 03, 2019","15.160","15.300","15.300","15.117","-","-0.63%"
"Mar 01, 2019","15.256","15.630","15.665","15.165","102.86K","-2.42%"
"Feb 28, 2019","15.634","15.770","15.860","15.605","65.41K","-0.84%"
"Feb 27, 2019","15.766","15.980","16.010","15.735","69.16K","-1.00%"
"Feb 26, 2019","15.926","15.940","15.990","15.835","38.50K","-0.01%"
"Feb 25, 2019","15.928","15.980","16.060","15.905","34.57K","0.28%"
"Feb 24, 2019","15.883","15.880","15.893","15.867","-","-0.81%"
"Feb 22, 2019","16.012","15.860","16.035","15.855","31.84K","0.67%"
"Feb 21, 2019","15.906","16.160","16.175","15.850","42.16K","-2.30%"
"Feb 20, 2019","16.281","16.070","16.295","16.035","41.69K","1.33%"
"Feb 19, 2019","16.067","15.860","16.075","15.820","35.71K","1.77%"
"Feb 18, 2019","15.787","15.752","15.828","15.738","-","0.25%"
"Feb 17, 2019","15.748","15.752","15.760","15.742","-","-0.58%"
"Feb 15, 2019","15.840","15.680","15.870","15.625","19.62K","1.40%"
"Feb 14, 2019","15.622","15.670","15.740","15.545","10.47K","-0.80%"
"Feb 13, 2019","15.748","15.795","15.890","15.620","15.26K","-0.25%"
"Feb 12, 2019","15.788","15.790","15.920","15.745","15.88K","0.00%"
"Feb 11, 2019","15.788","15.920","15.925","15.755","12.55K","-0.19%"
"Feb 10, 2019","15.818","15.822","15.822","15.785","-","-0.56%"
"Feb 08, 2019","15.907","15.825","15.955","15.755","10.23K","0.61%"
"Feb 07, 2019","15.811","15.775","15.845","15.740","12.71K","0.07%"
"Feb 06, 2019","15.800","15.950","15.950","15.740","9.38K","-0.85%"
"Feb 05, 2019","15.935","15.975","16.020","15.915","5.35K","-0.31%"
"Feb 04, 2019","15.984","16.000","16.015","15.785","9.81K","0.45%"
"Feb 03, 2019","15.912","15.910","15.932","15.902","-","-0.71%"
"Feb 01, 2019","16.026","16.170","16.170","15.995","7.50K","-0.87%"
"Jan 31, 2019","16.166","16.160","16.290","16.100","4.85K","0.91%"
"Jan 30, 2019","16.021","15.940","16.210","15.925","5.42K","0.55%"
"Jan 29, 2019","15.933","15.855","16.015","15.820","3.34K","0.47%"
"Jan 28, 2019","15.858","15.855","15.910","15.705","3.00K","0.80%"
"Jan 27, 2019","15.732","15.758","15.765","15.732","-","-0.37%"
"Jan 25, 2019","15.791","15.415","15.860","15.415","4.01K","2.59%"
"Jan 24, 2019","15.392","15.485","15.485","15.345","1.65K","-0.51%"
"Jan 23, 2019","15.471","15.440","15.530","15.370","1.71K","0.36%"
"Jan 22, 2019","15.415","15.465","15.465","15.280","3.35K","0.86%"
"Jan 21, 2019","15.283","15.363","15.383","15.207","-","-0.52%"
"Jan 20, 2019","15.363","15.360","15.395","15.357","-","-0.81%"
"Jan 18, 2019","15.489","15.650","15.690","15.435","1.75K","-0.89%"
"Jan 17, 2019","15.628","15.720","15.735","15.580","0.97K","-0.64%"
"Jan 16, 2019","15.729","15.720","15.765","15.625","1.34K","0.11%"
"Jan 15, 2019","15.711","15.775","15.825","15.680","2.34K","-0.44%"
